document_chunk_key,document_id,chunk_id,page_number,section_title,chunk_text,embedding_model,embedding_json
1,MPHA_PLAYBOOK_2025,MPHA_PLAYBOOK_2025_CHUNK_001,1,1. Operating Context and Goals,"1. Operating Context and Goals Metro Public Health Authority is preparing for a winter respiratory season with uneven facility demand, shifting immunization uptake, and limited surge staffing. The playbook gives leaders a common operating model for reading lakehouse metrics and converting them into staffing, outreach, and quality actions. The analytics workflow uses raw operations files, JSON capacity events, spatial catchments, and this document as governed knowledge sources. Primary goal: protect equitable access to urgent, emergency, and preventive care. Secondary goal: reduce avoidable delays by aligning staffing, clinic sessions, and outreach with district risk. Decision cadence: daily operations review and weekly executive public-health review. Workshop note: this page is synthetic and contains no patient identifiers, exact addresses, or protected health information.",demo_hash_embedding_16d,"[-0.247059, -0.278431, 0.403922, 0.223529, 0.090196, -0.882353, 0.890196, -0.592157, -0.537255, 0.647059, 0.709804, -0.176471, 0.47451, -0.231373, 0.929412, 0.521569]"
2,MPHA_PLAYBOOK_2025,MPHA_PLAYBOOK_2025_CHUNK_002,2,2. Source Data and Governance,"2. Source Data and Governance Raw data arrives from facility operations, immunization scheduling, respiratory surveillance, quality management, outreach registries, and facility capacity command-center events. The landing zone includes CSV, JSON, GeoJSON, and document files so the workshop reflects realistic public-sector data estates. Data stewards validate source freshness, row counts, required fields, and synthetic privacy boundaries before promoting data into curated layers. CSV sources describe daily operations, immunization activity, respiratory surveillance, and quality events. JSON events describe near-real-time occupancy, waiting room, triage, and supply signals. GeoJSON sources describe facility locations, district boundaries, and catchment polygons. Document sources provide operating protocols that can be vectorized for grounded assistant responses. Workshop note: this page is synthetic and contains no patient identifiers, exact addresses, or protected health information.",demo_hash_embedding_16d,"[-0.309804, 0.803922, -0.2, 0.552941, 0.32549, 0.301961, -0.905882, 0.184314, -0.780392, 0.945098, -0.992157, 0.458824, -0.639216, -0.043137, 0.113725, -0.678431]"
3,MPHA_PLAYBOOK_2025,MPHA_PLAYBOOK_2025_CHUNK_003,3,3. Access and Capacity Play,"3. Access and Capacity Play The access and capacity play is triggered when emergency wait variance, outpatient wait variance, bed occupancy, or access risk score exceeds agreed thresholds. Facility leaders review same-day capacity events together with Gold daily access measures to separate transient queue pressure from structural demand gaps. Actions should be district-aware: high pressure in a district with few facilities may require mobile sessions, not only local staffing changes. High ED wait variance: assign flex clinical staff and route non-urgent demand to same-day clinics. High occupancy: accelerate discharge coordination, review transfer options, and monitor diversion status. High outpatient wait variance: open targeted evening or weekend appointment blocks. Workshop note: this page is synthetic and contains no patient identifiers, exact addresses, or protected health information.",demo_hash_embedding_16d,"[0.670588, 0.976471, -0.215686, -0.490196, -0.027451, -0.2, 0.270588, 0.035294, 0.427451, 0.294118, -0.615686, 0.513725, 0.6, 0.945098, -0.537255, 0.356863]"
4,MPHA_PLAYBOOK_2025,MPHA_PLAYBOOK_2025_CHUNK_004,4,4. Immunization Equity Play,"4. Immunization Equity Play Immunization performance is assessed by district, age group, eligibility, booked appointments, missed appointments, walk-ins, and administered doses. The equity play focuses on older residents, medically vulnerable residents, and districts with high deprivation or high no-show rates. Leaders should pair completion-rate gaps with local access signals and spatial catchment context before assigning interventions. Use community health workers for older resident outreach in high-need districts. Use reminder campaigns when missed appointments are high but booked appointments are strong. Use mobile clinics when spatial residents-per-facility measures indicate access pressure. Workshop note: this page is synthetic and contains no patient identifiers, exact addresses, or protected health information.",demo_hash_embedding_16d,"[-0.945098, 0.019608, 0.74902, -0.356863, -0.490196, 0.286275, 0.223529, 0.898039, -0.168627, 0.270588, 1.0, 0.819608, -0.678431, -0.560784, 0.952941, 0.309804]"
5,MPHA_PLAYBOOK_2025,MPHA_PLAYBOOK_2025_CHUNK_005,5,5. Respiratory Surveillance Play,"5. Respiratory Surveillance Play The respiratory surveillance play combines positivity rate, positive tests, respiratory-related emergency visits, and district public-health pressure index. Rising positivity is not automatically a capacity crisis; it becomes operationally urgent when paired with ED waits, occupancy, and staffing overtime. The weekly executive review should look for districts where surveillance pressure and access risk are rising together. Extend respiratory assessment clinic hours when positivity and ED arrivals increase together. Prepare patient communications when positivity rises in districts with high no-show rates. Coordinate test kit distribution when supply alerts appear in capacity JSON events. Workshop note: this page is synthetic and contains no patient identifiers, exact addresses, or protected health information.",demo_hash_embedding_16d,"[-0.443137, -0.85098, -0.090196, -0.309804, 0.521569, -0.709804, 0.427451, -0.482353, -0.952941, 0.435294, -0.631373, 0.576471, -0.552941, 0.317647, 0.388235, -0.937255]"
6,MPHA_PLAYBOOK_2025,MPHA_PLAYBOOK_2025_CHUNK_006,6,6. Spatial Response Model,"6. Spatial Response Model Spatial analytics connects district demand, facility locations, catchment coverage, and public-health pressure so leaders can see where geography contributes to service risk. The workshop uses synthetic GeoJSON to show facility points, district boundaries, and catchment polygons in a map-ready format. Spatial insights should be interpreted as planning signals, not exact routing or emergency dispatch instructions. Residents per facility highlights districts where access may be structurally constrained. Average distance to facility helps identify catchment friction for preventive services. High pressure plus high residents per facility is a strong candidate for mobile outreach. Workshop note: this page is synthetic and contains no patient identifiers, exact addresses, or protected health information.",demo_hash_embedding_16d,"[-0.568627, 0.317647, -0.772549, -0.090196, -0.427451, -0.435294, 0.6, -0.019608, -0.090196, -0.098039, -0.929412, -0.254902, 0.803922, 0.890196, 0.490196, 0.843137]"
7,MPHA_PLAYBOOK_2025,MPHA_PLAYBOOK_2025_CHUNK_007,7,7. Service Quality and Readmission Play,"7. Service Quality and Readmission Play Quality events are monitored by facility, severity, event type, days to close, SLA breach count, and avoidable readmission relevance. The quality play links capacity stress with closure delays so leaders can decide whether issues are isolated, operational, or system-wide. Quality dashboards should always include an action owner, expected completion date, and next review cadence. Escalate high-severity events that remain open longer than fourteen days. Prioritize discharge coordination when avoidable readmission signals cluster at high-occupancy sites. Review staffing rosters when event volume rises with overtime hours. Workshop note: this page is synthetic and contains no patient identifiers, exact addresses, or protected health information.",demo_hash_embedding_16d,"[0.521569, -0.309804, 0.168627, 0.592157, -0.364706, -0.380392, 0.686275, 0.466667, 0.113725, 0.72549, -0.866667, -0.482353, 0.411765, 0.45098, -0.639216, -0.662745]"
8,MPHA_PLAYBOOK_2025,MPHA_PLAYBOOK_2025_CHUNK_008,8,8. Real-Time Operations Play,"8. Real-Time Operations Play GoldenGate and streaming patterns can complement scheduled batch processing when leaders need a live or near-live operating view. GoldenGate is best suited for transactional change capture from operational systems into the lakehouse ecosystem. Kafka-compatible streaming through AIDP is best suited for telemetry, queue snapshots, and facility command-center events. Use GoldenGate for source database changes such as appointments, admissions, discharges, and quality-event status. Use Kafka-compatible streaming for wait-time snapshots, triage counts, occupancy signals, and supply alerts. Keep streaming Gold tables compact and focused on operational decisions. Workshop note: this page is synthetic and contains no patient identifiers, exact addresses, or protected health information.",demo_hash_embedding_16d,"[0.992157, 0.184314, 0.294118, 0.043137, -0.545098, 0.835294, 0.113725, -0.560784, 0.035294, -0.937255, -0.466667, 0.796078, -0.490196, 0.231373, 0.537255, -0.788235]"
9,MPHA_PLAYBOOK_2025,MPHA_PLAYBOOK_2025_CHUNK_009,9,9. OAC Dashboard Operating Model,"9. OAC Dashboard Operating Model Oracle Analytics Cloud dashboards should provide a horizontal dashboard navigation pattern with shared filters for district, facility type, pressure band, and reporting period. Each dashboard tab should answer a different decision question and use the same trusted Gold objects from Autonomous AI Lakehouse. Interactive filters are important because public-health leaders often review the same metric at executive, district, facility, and service-line levels. Executive Overview: system pressure and priority actions. Access and Capacity: wait-time, occupancy, overtime, and action queues. Immunization Equity: uptake, no-shows, and age-group gaps. Spatial Insights: catchment and residents-per-facility planning signals. Document Chat: grounded answers from Gold metrics and vectorized operating guidance. Workshop note: this page is synthetic and contains no patient identifiers, exact addresses, or protected health information.",demo_hash_embedding_16d,"[-0.278431, -0.72549, -0.270588, -0.34902, -0.890196, 0.152941, -0.592157, -0.654902, -0.239216, -0.623529, -0.121569, 0.215686, 0.247059, 0.537255, -0.239216, -0.309804]"
10,MPHA_PLAYBOOK_2025,MPHA_PLAYBOOK_2025_CHUNK_010,10,10. Chat with Data and Documents,"10. Chat with Data and Documents The document-chat use case combines structured Gold metrics with vectorized policy and operating guidance from this playbook. The assistant should retrieve relevant chunks, cite the source page or section, and combine those chunks with filtered Gold measures. Responses must distinguish synthetic workshop facts from general recommendations and should avoid claiming patient-specific guidance. Example question: Which districts should receive mobile clinic sessions this week? Example question: Why is East River marked high pressure and what does the playbook recommend? Example question: What operational actions are appropriate when occupancy and ED wait variance rise together? Workshop note: this page is synthetic and contains no patient identifiers, exact addresses, or protected health information.",demo_hash_embedding_16d,"[0.32549, 0.003922, -0.32549, -0.090196, 0.05098, -0.615686, 0.098039, -0.701961, -0.105882, 0.937255, -0.576471, -0.701961, -0.552941, 0.066667, 0.701961, 0.733333]"
