facility_id,facility_name,facility_type,district_id,latitude,longitude,licensed_beds,baseline_daily_visits,target_ed_wait_minutes,target_outpatient_wait_minutes,provider_id,provider_name,accreditation_body,accreditation_status,accreditation_level,last_survey_date,expiry_date,accreditation_score,corrective_action_count,specialty_scope
F001,North Borough General Hospital,Hospital,D01,40.8122,-73.9448,220,330,55,24,P0001,North Borough General Hospital,National Health Standards Board,Accredited,Level A,2024-02-07,2026-02-06,93.4,0,"Acute care, emergency, inpatient quality, discharge safety"
F002,Northgate Community Clinic,Community Clinic,D01,40.8329,-73.9272,0,165,0,22,P0002,Northgate Community Clinic,Public Clinic Quality Commission,Accredited,Level A,2024-03-01,2026-03-01,92.6,0,"Primary care, preventive services, outreach, chronic care"
F003,East River Medical Center,Hospital,D02,40.7161,-73.8957,310,420,60,26,P0003,East River Medical Center,National Health Standards Board,Corrective Action,Conditional,2024-03-24,2025-09-25,75.5,4,"Acute care, emergency, inpatient quality, discharge safety"
F004,Riverside Urgent Care,Urgent Care,D02,40.7034,-73.8727,24,210,38,20,P0004,Riverside Urgent Care,Emergency Care Accreditation Council,Provisional,Level C,2024-04-16,2026-01-16,83.6,2,"Urgent care, triage safety, diagnostics, referral management"
F005,Central City Health Campus,Hospital,D03,40.7549,-73.984,410,520,58,25,P0005,Central City Health Campus,National Health Standards Board,Provisional,Level C,2024-05-09,2026-02-08,83.7,2,"Acute care, emergency, inpatient quality, discharge safety"
F006,Downtown Preventive Health Center,Community Clinic,D03,40.7391,-73.9922,0,190,0,21,P0006,Downtown Preventive Health Center,Public Clinic Quality Commission,Provisional,Level C,2024-06-01,2026-03-03,81.4,2,"Primary care, preventive services, outreach, chronic care"
F007,South Lakes Regional Hospital,Hospital,D04,40.6528,-73.9561,260,365,56,25,P0007,South Lakes Regional Hospital,National Health Standards Board,Accredited,Level A,2024-06-24,2026-06-24,96.5,0,"Acute care, emergency, inpatient quality, discharge safety"
F008,Lakeview Community Clinic,Community Clinic,D04,40.6259,-73.9344,0,155,0,20,P0008,Lakeview Community Clinic,Public Clinic Quality Commission,Accredited,Level A,2024-07-17,2026-07-17,93.2,0,"Primary care, preventive services, outreach, chronic care"
F009,West Hills Hospital,Hospital,D05,40.7838,-74.0272,180,255,52,23,P0009,West Hills Hospital,National Health Standards Board,Accredited,Level B,2024-08-09,2026-06-25,91.9,1,"Acute care, emergency, inpatient quality, discharge safety"
F010,Hillcrest Urgent Care,Urgent Care,D05,40.7614,-74.0526,18,145,34,19,P0010,Hillcrest Urgent Care,Emergency Care Accreditation Council,Accredited,Level B,2024-09-01,2026-07-18,88.2,1,"Urgent care, triage safety, diagnostics, referral management"
